Diameter,Sadness,Depth,BigSad,d/D,Pain,CWS,What even
7.945807262,9.21139204,0.574980434,0.155026719,0.072694254,0.00378302,6.356729217,1.863622637
9.053693463,2.850583632,0.495265742,0.079391153,0.05450873,0.005194961,6.914289181,1.645740834
12.40067934,16.54940616,1.235134896,0.452962495,0.099064466,0.005493249,11.40884549,1.027096798
9.83364801,7.51723632,1.296110486,0.213343766,0.132319123,0.005779785,14.55349992,3.371813572
11.2584589,14.43040048,0.81852649,0.19824352,0.07408001,0.00591447,8.325039938,1.390723845
8.261714459,8.190626164,0.781696651,0.18022925,0.094973858,0.00607707,14.2164935,0.902550154
15.46064165,29.89919408,1.458737752,0.639277638,0.095821912,0.006965042,6.753720384,3.459821795
9.409458141,5.995683016,0.704024972,0.073470049,0.075415156,0.007035027,9.434219153,4.389345477
8.03463906,0.86545224,0.58625188,0.07059453,0.07282937,0.00704574,14.27485561,1.99270291
4.51091954,1.017566964,0.513799782,0.021302038,0.11414236,0.007234604,12.97636525,0.867554906
8.788897715,10.75462498,0.801456832,0.198523858,0.092637716,0.007308149,11.57628433,2.935276998
10.127196,8.586849916,1.194964751,0.190370602,0.119072389,0.007426888,16.77290576,9.120920266
10.72398394,8.024613396,1.084237131,0.159659672,0.10174462,0.007476042,14.31071774,1.533806512
10.33896642,16.87548258,0.557811337,0.15998909,0.055938224,0.007935717,7.469708193,2.482677381
7.882056141,8.012888044,0.558433718,0.188633306,0.069939644,0.008117503,7.939248312,0.680739488
8.281103095,6.013546672,0.553870024,0.089547826,0.067342539,0.008322244,10.00772301,2.021838741
9.95535062,1.46425732,1.12658166,0.12197286,0.11297282,0.00846727,13.64203907,1.756006569
8.559691318,6.098537812,0.774860092,0.081862665,0.091482012,0.008601473,11.08360742,1.774209806
12.4218653,8.63397756,0.91001349,0.10498432,0.07439143,0.00860519,6.106034121,1.756036931
8.562465681,6.07091812,0.857679093,0.119366294,0.100913252,0.008832442,7.864240499,2.087652304
6.018518312,3.650164484,0.538390972,0.122147338,0.08879467,0.009237805,9.803024818,1.972711174
8.888312091,11.19507846,0.684001539,0.282110788,0.075406991,0.009396841,8.840484059,2.434767309
13.6275075,24.17703182,0.793379446,0.300258499,0.059380785,0.0096952,5.772757351,2.091578976
18.0853822,24.97321132,0.92577075,0.48693015,0.04911676,0.01009689,6.050284461,1.724007408
6.298863189,4.697130068,0.543687626,0.12632781,0.086012296,0.010273187,9.258025248,1.757437895
9.95504052,12.95290992,1.01422023,0.23980625,0.10419571,0.01036929,11.20020965,4.195571951
10.89715216,9.420459196,0.834441415,0.086774427,0.07803799,0.010537866,12.72049269,6.937841832
9.522076946,9.437856324,0.648296945,0.151100578,0.06863363,0.010558936,11.20650439,2.115871337
8.66895953,5.79028332,0.81833806,0.13911892,0.09467066,0.0106188,12.3732191,0.99856886
7.294828193,10.19460513,0.482851304,0.162986141,0.066934023,0.010741232,6.531223139,1.101565729
5.486156313,3.7445317,0.838907988,0.115512814,0.153728009,0.010784262,19.39815338,2.145242434
10.1966101,7.4959386,0.96842782,0.16326888,0.09553665,0.01094273,12.55399639,3.012686626
6.958453911,4.239055944,0.861077524,0.143338417,0.123967413,0.011046471,13.57678319,2.104296609
9.84998376,4.1570678,0.76113211,0.13517381,0.0773722,0.01109402,11.88275244,2.120217034
10.2425411,8.6152802,0.87886658,0.14851618,0.08673408,0.01128333,10.37856272,1.642960061
15.23127735,15.92487656,0.700296911,0.107982354,0.048037217,0.011568293,5.221489128,1.622979589
8.55896855,7.66741032,0.82615373,0.13973704,0.09785198,0.01184579,11.16905903,6.202480593
4.801903282,2.599567216,0.526017091,0.029951141,0.110634642,0.01202187,13.47828168,1.565395998
6.479624643,1.739452028,0.940655799,0.08618593,0.145345476,0.012063367,14.25803266,1.814793578
7.608205152,7.884688556,0.785279151,0.232199027,0.102845038,0.012117188,13.75937961,2.473426727
7.488080481,3.28995484,0.93294158,0.088296132,0.125207489,0.0123931,18.57226885,6.644092827
9.8090538,11.10302268,0.80187321,0.14480867,0.08359062,0.01252495,6.065358884,1.951302335
11.75644235,3.532620452,1.019484221,0.12663457,0.087141267,0.012558727,11.52305533,3.995435898
9.70141184,10.59830772,0.89464823,0.25682159,0.09241104,0.01272838,12.5089291,0.38204002
13.80807624,13.10628254,1.051063046,0.114545328,0.078262951,0.012828986,11.41529573,2.561410359
8.29619382,3.04292596,0.97969373,0.15881581,0.11790171,0.01302153,14.78732406,2.399825054
10.5500276,7.78132468,1.36455479,0.1303113,0.13111335,0.01323393,22.89749691,2.074663109
10.3844061,5.35858416,0.65721493,0.14303356,0.06375194,0.0139897,7.27116706,0.921468457
4.835688302,1.746763048,0.542775201,0.064813388,0.112609119,0.014111611,13.691826,2.946682371
10.944291,11.5935192,1.17788694,0.38648866,0.10705945,0.01414065,17.4807452,2.06566322
10.23525429,12.12934035,0.917078567,0.107560677,0.092652191,0.014460101,18.49815952,3.312728499
7.049150803,13.9211058,0.557366,0.176511739,0.083702604,0.014950117,8.305325516,2.233814017
10.34703706,3.196072432,1.024515206,0.223805829,0.098306959,0.015116452,9.858650729,0.91112797
11.26817156,10.50742388,1.248202406,0.121033375,0.113273063,0.015204802,13.61799789,2.741335087
16.54951357,17.16490524,1.091326935,0.11140167,0.06844057,0.015254198,11.36172218,2.807020038
10.87443274,37.28945905,0.472247198,0.213033322,0.052385727,0.015298975,5.310448568,1.606552918
8.923146928,8.854612608,0.753114875,0.197113397,0.084936438,0.015373673,10.49583112,3.852327942
9.491744425,14.60376863,0.94774918,0.304688894,0.10265067,0.01569757,8.23424375,2.602853019
6.659307999,5.384484688,0.80515187,0.08560716,0.122903569,0.015955725,17.52964973,5.062464609
10.53748825,10.12054515,1.105284913,0.145431684,0.10723341,0.015968293,9.274841981,3.158997962
12.85056918,19.8454996,1.158477033,0.335871847,0.094270184,0.016112841,15.5926009,7.347581561
6.70065441,8.23893708,0.567835485,0.075316953,0.08809518,0.016142856,9.338514383,3.861894128
12.19550023,4.3351624,0.901835922,0.190139362,0.074282204,0.016220758,9.625935974,3.067263118
10.79905894,14.17225332,1.000583619,0.251093146,0.095930843,0.016298066,12.03265247,4.362498521
7.750483173,5.963076972,0.717899154,0.233242861,0.091192545,0.016343263,10.73443869,1.596954683
12.73181732,14.48795281,0.811402848,0.115282083,0.06640442,0.016352506,7.968513178,2.508675011
8.811318264,10.75926169,1.034085239,0.375645364,0.117006839,0.016367296,11.49823743,4.649841003
10.09273254,8.464250812,0.799570695,0.127372012,0.081293225,0.016405004,7.299886137,2.429986554
8.571766243,5.342168136,1.073745059,0.188846677,0.125651698,0.016464957,8.67218265,3.32094577
10.42992826,5.881355964,1.11305603,0.11583871,0.10793943,0.01655231,12.35060421,1.501786424
7.37517958,4.48394084,0.51553555,0.06817172,0.07068261,0.01666714,10.02899905,2.503894887
5.787042018,4.680215484,0.88799558,0.162724253,0.154781128,0.016676594,13.4068079,4.415328647
15.950333,11.98913856,1.48196017,0.33601355,0.09341281,0.01692205,9.812936792,3.13400193
16.31967497,12.1248651,1.426746626,0.014510959,0.089783861,0.016980016,7.380616019,3.17415547
10.9338518,10.68687324,0.73022477,0.17782037,0.06827136,0.01709872,7.66760933,3.43835484
10.55111946,9.493490168,0.798690804,0.122967227,0.077727442,0.01713616,6.497706371,1.065872933
16.51111215,4.24966454,1.327377514,0.277680484,0.08054023,0.017141574,11.11081853,0.822801879
9.56942547,5.26540488,1.55027998,0.1589676,0.16330726,0.01717289,17.17732361,1.694325427
9.490035052,5.853696752,0.649221308,0.08131276,0.070294811,0.017352987,8.257652569,2.39158315
11.45929365,5.735295192,1.062922022,0.240375401,0.092960114,0.017454065,11.6181521,1.605169368
9.31993535,5.290123612,0.900500618,0.053612559,0.098457172,0.017454483,9.97839852,2.775798965
10.02743597,23.60534638,0.775597665,0.432921246,0.079379676,0.017848064,9.414524163,0.825707715
8.090938906,6.80313204,1.188802548,0.13766719,0.149508152,0.017898064,18.13841078,3.069828556
7.79726911,3.125199692,0.700796212,0.135654278,0.090192398,0.018009482,21.16499143,4.497585547
6.23019198,3.64096796,0.37927616,0.12741817,0.06044631,0.01806207,8.031204602,1.311354723
6.90760516,4.477362232,0.719984289,0.084894435,0.105838911,0.018148475,13.33736155,3.521760848
9.59291818,15.4688726,1.31104973,0.61662992,0.13632556,0.01826628,18.7051384,2.82107723
12.92292744,14.61963813,0.890050833,0.177410318,0.07214362,0.018583678,9.46479373,1.674859792
8.72282882,9.6164934,1.35809553,0.22032865,0.15954192,0.01873857,16.48263335,3.069790426
17.14066884,17.91309288,1.393358872,0.297122623,0.083864148,0.01874549,9.005710803,5.823206785
10.58173549,25.95692566,1.051997241,0.477431764,0.107386986,0.01879117,16.93421111,3.210808619
7.423790646,8.562700532,1.102552394,0.210163188,0.151557822,0.01889254,17.28853128,3.522010036
9.747744759,7.857459944,1.133343818,0.189252552,0.118167105,0.019020547,15.79194488,3.164303491
13.43848653,17.25705436,1.546128719,0.37299431,0.118306511,0.01939473,14.90618452,3.651048757
9.606050343,2.517471176,1.040312487,0.117695568,0.109237644,0.019484395,15.6182062,2.153191636
8.498463433,5.845339868,1.116593762,0.043025102,0.133876961,0.019618579,14.98617657,3.723130101
8.14136045,17.39903468,0.99823281,0.32334899,0.13049814,0.01988419,15.67993514,5.25021469
5.23096169,6.987211608,0.441638958,0.216146399,0.080819938,0.02016175,10.22560898,1.860466331
12.91305356,11.85814701,1.173136975,0.199240005,0.093082717,0.020179604,10.58856042,1.588276742
7.624333778,7.059225188,0.955539631,0.353774462,0.122326094,0.020245778,15.79993008,1.057062258
8.129981027,9.5731388,0.689473616,0.079596317,0.088623753,0.020379241,12.92019868,1.377279966
11.64321494,7.364729224,1.20285967,0.323927192,0.102729644,0.020491886,7.176727397,4.852006702
9.805790825,3.698601632,1.069575781,0.101842818,0.11046088,0.020507871,15.65184802,1.203228579
9.452435412,9.08404322,0.778695933,0.114240233,0.085665414,0.020603975,9.42655769,2.861879002
7.278294488,7.708443232,0.479956361,0.062137905,0.069571881,0.020668289,7.911109329,1.161211158
10.43955283,6.869579392,1.32813372,0.119232887,0.129553613,0.020773324,19.11841589,1.329897783
7.885640096,5.420778076,0.806422136,0.118815473,0.104117683,0.020786677,9.363949954,3.557608224
7.623902346,6.289632968,0.535221547,0.096793501,0.072942972,0.020822221,7.110624509,1.398016078
8.22291071,2.339005004,0.955747202,0.122829985,0.117219412,0.020936531,22.3781169,2.647654914
13.66523852,12.20546792,1.703447356,0.397414307,0.125301052,0.02117611,11.86670687,4.291778005
9.217047999,2.941579764,0.725401066,0.142712399,0.079855455,0.021413361,11.41125947,0.575286231
7.069273782,2.934114704,1.194001906,0.235851761,0.168183813,0.021623345,21.30134226,5.894348332
8.95278914,11.342199,1.0975116,0.17039442,0.12740907,0.02169576,15.86364906,6.914716712
8.678816555,10.59734856,0.800870415,0.050635566,0.097035657,0.021884609,18.20946176,4.422140871
7.191042119,3.435241724,0.886520783,0.086940822,0.124994338,0.02189307,9.685878077,2.293804287
9.911288572,9.423444824,1.260099841,0.162770649,0.130289095,0.021915879,16.36582369,1.892809313
6.727711553,2.387103784,0.796704108,0.113333868,0.119447967,0.021923441,10.5220696,1.526351355
9.277319775,14.75759138,0.999141952,0.279892886,0.112525406,0.022539662,14.33660673,1.986328275
10.2405538,7.9429382,0.82220072,0.16326888,0.0833723,0.02258832,7.121338191,0.931534354
9.56051228,9.38249344,0.68564681,0.11631192,0.07503105,0.02264342,11.92245467,4.131230296
7.068744047,5.097180536,1.152098436,0.250728961,0.162908194,0.023382111,20.98600793,2.151294059
8.85023211,1.64446184,1.00870043,0.22196321,0.11375408,0.02339665,16.64221872,7.588976935
9.357338241,5.751853116,1.072130955,0.09825689,0.116831569,0.023501132,16.38331246,3.041549963
10.3060805,13.7852498,0.63256094,0.20520939,0.06384657,0.02372366,12.09748645,2.143020241
9.679303482,13.2099181,1.283587285,0.201539137,0.138270269,0.023782626,17.02287532,2.940227958
17.0687944,12.2363282,1.44695833,0.1742443,0.08768127,0.0237912,12.7994811,4.433566524
8.283156514,15.52498647,0.867818866,0.215432475,0.112980447,0.023954583,23.53251164,5.722126891
10.76505204,14.76858466,0.941157544,0.125920872,0.092645428,0.024238476,11.22898686,5.952005463
6.049530772,3.1698222,0.47637058,0.157368227,0.078387775,0.024266925,10.22496262,3.422387914
8.189847093,5.790586712,0.948032185,0.06973332,0.11892543,0.024362273,14.11188739,7.682064035
9.643906178,14.64680946,0.571677583,0.080100128,0.065490166,0.024403664,6.84459899,5.383158603
6.57411282,5.174578392,0.919100948,0.025592373,0.143391673,0.024615425,14.76868297,3.642863411
11.9918279,7.2341072,0.56030093,0.23208619,0.04863209,0.0246216,6.956226167,3.006999899
8.792390257,13.19771407,1.084345675,0.344455097,0.125800929,0.024684536,13.30256126,0.942014815
7.329779453,3.196190592,0.907516954,0.236124488,0.123061711,0.024945156,15.33590237,1.931000624
11.1995127,10.70151688,1.33557604,0.2394657,0.12225189,0.02516904,18.71857259,5.689844936
4.682752267,3.60514968,0.450007817,0.061050776,0.09911594,0.025475324,8.831754388,1.983861967
17.5500623,20.25839948,1.95255986,0.18218547,0.11665324,0.02562583,13.19346291,5.126465793
10.8945878,8.52271888,0.97226641,0.07771268,0.09300123,0.02563059,9.433106533,4.321561448
8.792366171,15.7387,0.845836321,0.203007107,0.102641839,0.025676929,14.66112958,3.549859061
15.88214628,15.09954574,1.387829043,0.061191259,0.092054435,0.026208166,9.213221306,1.213692836
